music=true
colBoxt=0,0,56,5
colBoxt=0,0,8,50
colBoxt=0,45,56,6
colBoxt=48,0,8,50
colBoxt=8,10,7,2
colBoxt=13,7,2,3
colBoxt=8,17,5,2
colBoxt=15,17,7,2
colBoxt=20,5,2,12
colBoxt=8,24,5,2
colBoxt=15,24,26,2
colBoxt=43,24,5,2
colBoxt=27,12,2,26
colBoxt=27,40,2,5
colBoxt=27,5,2,5
colBoxt=8,31,5,2
colBoxt=15,31,7,2
colBoxt=20,33,2,12
colBoxt=8,38,7,2
colBoxt=13,40,2,3
colBoxt=34,5,2,14
colBoxt=36,17,5,2
colBoxt=43,17,5,2
colBoxt=41,7,2,5
colBoxt=43,10,5,2
colBoxt=34,31,7,2
colBoxt=43,31,5,2
colBoxt=34,33,2,12
colBoxt=41,38,2,5
colBoxt=43,38,5,2
