/player=640,450
/light=50,50,250,1,1,1
colBox=288,96,96,32
colBox=192,32,192,32
colBoxt=0,0,42,5
colBoxt=0,5,8,33
colBoxt=0,33,42,5
colBoxt=34,5,8,28
colBoxt=23,5,2,2
colBoxt=8,11,2,2
colBoxt=8,25,2,2
colBoxt=12,11,9,2
colBoxt=23,9,2,4
colBoxt=25,11,9,2
colBoxt=28,13,2,14
colBoxt=14,13,2,12
colBoxt=12,25,9,2
colBoxt=18,15,8,2
colBoxt=24,17,2,1
colBoxt=18,17,2,1
colBoxt=24,20,2,3
colBoxt=18,20,2,3
colBoxt=20,21,4,2
colBoxt=23,25,5,2
colBoxt=23,27,2,2
colBoxt=23,31,2,2
music=true
/npc=700,400
/npc=1700,500
/npc=700,3000
/npc=1400,1600
/npc=700,1300
/npc=2100,1500
/npc=800,1200
/npc=1200,2600
/npc=1500,2800
/npc=900,2700
/furniture=fireplace, ,600,600
